defense,attacked_cases,clean_controls,BASR_percent,SASR_percent,CSASR_percent,VOR_percent,utility_under_attack_percent,clean_utility_percent,detector_recall_percent,detector_false_positive_percent,blocked_percent,defense_effectiveness_absolute_pp,defense_effectiveness_relative_percent
baseline,2180,29,100.0,100.0,100.0,99.45,0.0,100.0,53.03,0.0,0.0,0.0,0.0
prompt_hardening,2180,29,57.16,57.11,57.11,56.61,42.89,100.0,42.89,0.0,0.0,42.89,42.89
detector_abort,2180,29,43.85,43.85,43.85,43.3,0.0,100.0,53.03,0.0,56.15,56.15,56.15
tool_policy,2180,29,2.84,2.25,2.25,2.29,97.75,100.0,53.03,0.0,0.0,97.75,97.75
independent_reviewer,2180,29,0.55,0.55,0.55,0.0,0.0,100.0,53.03,0.0,99.45,99.45,99.45
combined,2180,29,0.64,0.55,0.55,0.09,97.25,100.0,53.03,0.0,2.2,99.45,99.45
